variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
CD19,CD14,CD19,12,12,15.6996706720418,13.5929015466036,4.23e-10,3.102e-09,****
CD19,CD14,CD4,12,12,1.28738298928526,19.4530243403379,0.213,0.26625,ns
CD19,CD14,CD56,12,12,-2.78548004174445,13.759280904179,0.015,0.0232394366197183,*
CD19,CD14,CD8,12,12,-2.1125138422498,16.9546308596462,0.05,0.0714285714285714,ns
CD19,CD19,CD4,12,12,-17.2179940751701,16.9847171565152,3.46e-12,4.22888888888889e-11,****
CD19,CD19,CD56,12,12,-32.8055158253799,21.987422307809,3.61e-20,3.971e-18,****
CD19,CD19,CD8,12,12,-25.8702725388369,19.4978844941219,1.46e-16,8.03e-15,****
CD19,CD4,CD56,12,12,-5.19043216841351,17.227681613889,7.07e-05,0.000152490196078431,***
CD19,CD4,CD8,12,12,-4.10926894142125,20.8953258003344,0.000505,0.000991964285714286,***
CD19,CD56,CD8,12,12,0.7247986798333,19.75390446189,0.477,0.5247,ns
CD248,CD14,CD19,12,12,0.501866300473473,1.8967369637737,0.668,0.706538461538462,ns
CD248,CD14,CD4,12,12,5.67663935698679,1.04703438585794,0.103,0.137831325301205,ns
CD248,CD14,CD56,12,12,0.570268451172725,1.40484266305931,0.646,0.689902912621359,ns
CD248,CD14,CD8,12,12,7.22532874213792,1.08454575648092,0.075,0.104430379746835,ns
CD248,CD19,CD4,12,12,6.35474908283712,1.07613946162969,0.088,0.121,ns
CD248,CD19,CD56,12,12,-0.018682270827147,1.66815841424704,0.987,0.99605504587156,ns
CD248,CD19,CD8,12,12,8.27020280402566,1.1375055934244,0.059,0.0832051282051282,ns
CD248,CD4,CD56,12,12,-11.0704357574209,5.00909615606544,0.000104,0.00022,***
CD248,CD4,CD8,12,12,6.41030238926841,20.3859619907025,2.72e-06,8.525e-06,****
CD248,CD56,CD8,12,12,14.0130584677322,5.83050857300159,1.04e-05,2.86e-05,****
CD40,CD14,CD19,12,12,2.71125452010547,21.9623742713726,0.013,0.0204285714285714,*
CD40,CD14,CD4,12,12,14.1910158056502,11.7713931063405,9.21e-09,5.0655e-08,****
CD40,CD14,CD56,12,12,2.16877477216243,21.9152034469677,0.041,0.0617808219178082,ns
CD40,CD14,CD8,12,12,8.79120949700147,15.0839025209442,2.53e-07,9.46e-07,****
CD40,CD19,CD4,12,12,9.93565367513828,11.7102075972999,4.71e-07,1.67129032258065e-06,****
CD40,CD19,CD56,12,12,-0.670028610269545,21.7675927311401,0.51,0.555445544554455,ns
CD40,CD19,CD8,12,12,5.02621438578322,14.7798898464086,0.000157,0.000318,***
CD40,CD4,CD56,12,12,-11.9630893522579,11.8734214318764,5.58e-08,2.4552e-07,****
CD40,CD4,CD8,12,12,-10.14009713932,14.8828098664603,4.48e-08,2.14260869565217e-07,****
CD40,CD56,CD8,12,12,6.38782984762572,15.5793710073373,1.02e-05,2.86e-05,****
CD8A,CD14,CD19,12,12,-2.88372994740742,17.0143542947945,0.01,0.0161764705882353,*
CD8A,CD14,CD4,12,12,-1.07655421483919,21.9831620408038,0.293,0.345212765957447,ns
CD8A,CD14,CD56,12,12,6.1227494402658,15.4958954939712,1.69e-05,4.04130434782609e-05,****
CD8A,CD14,CD8,12,12,12.2858513070832,11.6386035138736,5.12e-08,2.34666666666667e-07,****
CD8A,CD19,CD4,12,12,2.13045676726864,17.2967491574643,0.048,0.0694736842105263,ns
CD8A,CD19,CD56,12,12,6.75317193674069,12.3933947968448,1.73e-05,4.04893617021277e-05,****
CD8A,CD19,CD8,12,12,10.0404153203504,11.1901883533389,6.16e-07,2.1175e-06,****
CD8A,CD4,CD56,12,12,7.35375933837093,15.2733035240058,2.15e-06,6.95588235294118e-06,****
CD8A,CD4,CD8,12,12,13.4411172594197,11.6042611742788,1.98e-08,9.9e-08,****
CD8A,CD56,CD8,12,12,11.6051865502995,13.9366909114726,1.51e-08,7.90952380952381e-08,****
DCP2,CD14,CD19,12,12,-0.353761144983022,9.8710223271874,0.731,0.765809523809524,ns
DCP2,CD14,CD4,12,12,11.4595427375342,5.48976044270184,4.85e-05,0.000111145833333333,***
DCP2,CD14,CD56,12,12,3.25473752441685,8.23752125970321,0.011,0.017536231884058,*
DCP2,CD14,CD8,12,12,2.43434990193072,7.90784310620187,0.041,0.0617808219178082,ns
DCP2,CD19,CD4,12,12,16.6472604802332,11.9841708287977,1.2e-09,7.95882352941177e-09,****
DCP2,CD19,CD56,12,12,4.65779673079478,19.610134177196,0.000159,0.000318,***
DCP2,CD19,CD8,12,12,3.64073301556886,19.083859094626,0.002,0.00354838709677419,**
DCP2,CD4,CD56,12,12,-13.3443591667777,14.3363893292444,1.76e-09,1.02473684210526e-08,****
DCP2,CD4,CD8,12,12,-15.6749777897157,14.6944840916698,1.41e-10,1.10785714285714e-09,****
DCP2,CD56,CD8,12,12,-1.26597406718087,21.9366389052366,0.219,0.270674157303371,ns
FAR1,CD14,CD19,12,12,-0.936449590752962,16.6802421023253,0.362,0.406326530612245,ns
FAR1,CD14,CD4,12,12,-3.8321878611782,14.4778697362882,0.002,0.00354838709677419,**
FAR1,CD14,CD56,12,12,1.78751823389611,18.325431074244,0.09,0.122222222222222,ns
FAR1,CD14,CD8,12,12,1.04188263358757,17.0735055456674,0.312,0.356082474226804,ns
FAR1,CD19,CD4,12,12,-4.63002886239659,20.574537146066,0.000151,0.000313396226415094,***
FAR1,CD19,CD56,12,12,3.89048000004002,21.4738799271853,0.000816,0.00154758620689655,**
FAR1,CD19,CD8,12,12,2.95250875430915,21.9655967794698,0.007,0.0114925373134328,*
FAR1,CD4,CD56,12,12,8.4525145753962,18.9244616514917,7.56e-08,3.09222222222222e-07,****
FAR1,CD4,CD8,12,12,7.81529565132202,20.1871470602443,1.57e-07,6.16785714285714e-07,****
FAR1,CD56,CD8,12,12,-1.10453668680137,21.6994949002661,0.281,0.335978260869565,ns
KLRB1,CD14,CD19,12,12,-1.70654178512169,19.0828868104921,0.104,0.137831325301205,ns
KLRB1,CD14,CD4,12,12,7.62617112034108,12.138403741167,5.71e-06,1.69756756756757e-05,****
KLRB1,CD14,CD56,12,12,10.7979354777574,11.3495964228409,2.58e-07,9.46e-07,****
KLRB1,CD14,CD8,12,12,7.3644521580776,14.5738835153471,2.79e-06,8.525e-06,****
KLRB1,CD19,CD4,12,12,7.14107801651047,11.4995171816345,1.49e-05,3.725e-05,****
KLRB1,CD19,CD56,12,12,9.21575566494301,11.1530968545144,1.5e-06,5e-06,****
KLRB1,CD19,CD8,12,12,7.0570309065085,12.5998494373743,1.02e-05,2.86e-05,****
KLRB1,CD4,CD56,12,12,11.7609235199436,17.1613865676922,1.23e-09,7.95882352941177e-09,****
KLRB1,CD4,CD8,12,12,0.286579151285381,17.2341004775941,0.778,0.807358490566038,ns
KLRB1,CD56,CD8,12,12,-6.84653468410435,13.075383023559,1.14e-05,3.05853658536585e-05,****
PARK2,CD14,CD19,12,12,3.56056399745066,2.65836219971336,0.046,0.0674666666666667,ns
PARK2,CD14,CD4,12,12,18.1673135082229,16.6128172947307,2.16e-12,2.97e-11,****
PARK2,CD14,CD56,12,12,5.643596502007,14.1607749148452,5.8e-05,0.0001276,***
PARK2,CD14,CD8,12,12,11.7967833396503,21.3400386139032,8.14e-11,6.88769230769231e-10,****
PARK2,CD19,CD4,12,12,4.17009941241571,2.17347333117754,0.046,0.0674666666666667,ns
PARK2,CD19,CD56,12,12,-1.38092467206631,2.11836668130332,0.295,0.345212765957447,ns
PARK2,CD19,CD8,12,12,2.12547139898371,2.45419586102391,0.143,0.185058823529412,ns
PARK2,CD4,CD56,12,12,-21.086370966676,13.6094884620874,8.71e-12,8.71e-11,****
PARK2,CD4,CD8,12,12,-5.18794495715661,18.4669374201297,5.72e-05,0.0001276,***
PARK2,CD56,CD8,12,12,9.78512020244669,14.7779191644192,7.59e-08,3.09222222222222e-07,****
POUF2,CD14,CD19,12,12,3.02458047077047,19.5992747094839,0.007,0.0114925373134328,*
POUF2,CD14,CD4,12,12,-1.23997765688918,15.2967934145205,0.234,0.282857142857143,ns
POUF2,CD14,CD56,12,12,-16.6898757629043,20.8914295140129,1.49e-13,2.65571428571429e-12,****
POUF2,CD14,CD8,12,12,-17.419971175995,19.8581070865675,1.69e-13,2.65571428571429e-12,****
POUF2,CD19,CD4,12,12,-4.4141977463626,13.1340075260401,0.000683,0.0013180701754386,**
POUF2,CD19,CD56,12,12,-16.1716024976568,17.0752225926354,8.69e-12,8.71e-11,****
POUF2,CD19,CD8,12,12,-16.6024056382199,16.0556624804821,1.56e-11,1.43e-10,****
POUF2,CD4,CD56,12,12,-21.8778032167629,17.4691238381355,3.87e-14,8.514e-13,****
POUF2,CD4,CD8,12,12,-23.7702999702489,18.6178786790792,2.18e-15,5.995e-14,****
POUF2,CD56,CD8,12,12,-0.0896589402705149,21.7551372390348,0.929,0.946203703703704,ns
SLC15A4,CD14,CD19,12,12,-1.35650559616262,1.95856287145404,0.31,0.356082474226804,ns
SLC15A4,CD14,CD4,12,12,0.00472007390652393,1.1184187460901,0.997,0.997,ns
SLC15A4,CD14,CD56,12,12,3.3167947536894,1.1309196606029,0.163,0.208488372093023,ns
SLC15A4,CD14,CD8,12,12,0.585247419810677,1.35888216355457,0.641,0.689902912621359,ns
SLC15A4,CD19,CD4,12,12,1.75917333509129,1.08778246175734,0.314,0.356082474226804,ns
SLC15A4,CD19,CD56,12,12,4.63819699668241,1.09698873487269,0.119,0.155833333333333,ns
SLC15A4,CD19,CD8,12,12,2.20509368467881,1.26323107464298,0.227,0.277444444444444,ns
SLC15A4,CD4,CD56,12,12,9.80548096384433,21.9476029642236,1.77e-09,1.02473684210526e-08,****
SLC15A4,CD4,CD8,12,12,1.32301344946976,17.7856820826554,0.203,0.256666666666667,ns
SLC15A4,CD56,CD8,12,12,-5.80376580526484,18.3146027147524,1.58e-05,3.86222222222222e-05,****
WIPI2,CD14,CD19,12,12,5.58179294978651,6.28410447829017,0.001,0.00186440677966102,**
WIPI2,CD14,CD4,12,12,13.5329635261333,2.46347922349141,0.002,0.00354838709677419,**
WIPI2,CD14,CD56,12,12,4.47477782796869,5.98822609967317,0.004,0.00698412698412698,**
WIPI2,CD14,CD8,12,12,1.04190965232635,2.87178569227803,0.377,0.418888888888889,ns
WIPI2,CD19,CD4,12,12,6.5446027659677,13.6800219252463,1.46e-05,3.725e-05,****
WIPI2,CD19,CD56,12,12,-0.10412989958492,8.18940561629284,0.92,0.945794392523364,ns
WIPI2,CD19,CD8,12,12,-6.24030549892238,15.7258112841898,1.28e-05,3.35238095238095e-05,****
WIPI2,CD4,CD56,12,12,-4.85107945718729,4.49625637207716,0.006,0.0103125,*
WIPI2,CD4,CD8,12,12,-23.4234584875476,20.270365975707,3.74e-16,1.37133333333333e-14,****
WIPI2,CD56,CD8,12,12,-4.47959400492525,4.91715029189468,0.007,0.0114925373134328,*
